iter	Passed	Remaining
0	3	660
1	7	750
2	12	804
3	16	791
4	19	763
5	24	795
6	28	773
7	31	755
8	34	739
9	39	759
10	41	720
11	45	706
12	48	698
13	52	703
14	57	707
15	61	702
16	64	693
17	67	686
18	71	685
19	75	681
20	79	674
21	82	669
22	87	672
23	90	666
24	94	659
25	97	653
26	102	657
27	106	656
28	110	651
29	114	647
30	118	647
31	123	648
32	126	641
33	130	635
34	132	624
35	137	626
36	141	621
37	144	615
38	147	610
39	152	610
40	156	605
41	159	599
42	162	593
43	167	593
44	171	589
45	174	583
46	177	577
47	181	574
48	185	570
49	188	565
50	191	560
51	194	554
52	199	552
53	202	547
54	205	542
55	209	537
56	212	534
57	216	529
58	219	525
59	223	520
60	226	516
61	231	514
62	234	510
63	238	505
64	241	501
65	245	498
66	249	495
67	253	492
68	257	488
69	260	484
70	265	481
71	268	477
72	271	473
73	275	468
74	279	466
75	283	462
76	287	458
77	290	454
78	294	451
79	298	447
80	301	443
81	304	438
82	308	434
83	312	431
84	315	427
85	318	422
86	322	418
87	326	415
88	329	411
89	333	407
90	336	403
91	339	398
92	344	396
93	348	393
94	351	388
95	355	384
96	359	381
97	362	377
98	366	373
99	369	369
100	372	365
101	377	362
102	380	358
103	383	354
104	386	349
105	389	345
106	393	342
107	396	338
108	400	334
109	403	330
110	408	327
111	412	324
112	415	320
113	418	315
114	423	312
115	427	309
116	432	306
117	436	303
118	440	300
119	445	297
120	449	293
121	452	289
122	457	286
123	460	282
124	464	278
125	467	274
126	471	271
127	475	267
128	478	263
129	482	259
130	485	255
131	490	252
132	493	248
133	496	244
134	500	240
135	504	237
136	507	233
137	511	229
138	514	225
139	517	221
140	522	218
141	526	215
142	529	211
143	532	207
144	537	203
145	540	200
146	544	196
147	547	192
148	551	188
149	556	185
150	560	181
151	563	177
152	566	174
153	571	170
154	574	166
155	578	163
156	581	159
157	586	155
158	589	152
159	592	148
160	596	144
161	599	140
162	604	137
163	607	133
164	610	129
165	613	125
166	618	122
167	622	118
168	625	114
169	629	111
170	634	107
171	638	103
172	641	100
173	644	96
174	648	92
175	653	89
176	657	85
177	660	81
178	664	77
179	668	74
180	672	70
181	675	66
182	678	63
183	683	59
184	687	55
185	691	52
186	694	48
187	698	44
188	702	40
189	705	37
190	709	33
191	712	29
192	716	25
193	719	22
194	722	18
195	726	14
196	730	11
197	733	7
198	737	3
199	740	0
